page,title,url
https://mosdac.gov.in/announcements,Monsoon Onset Prediction over Kerala (2024),https://mosdac.gov.in/sites/default/files/docs/Onset%20Prediction%202024.pdf
https://mosdac.gov.in/announcements,Onset over Kerala - Monsoon 2023,https://mosdac.gov.in/sites/default/files/docs/Onset%20Prediction%202023.pdf
https://mosdac.gov.in/announcements,INSAT Product Version Information,https://mosdac.gov.in/sites/default/files/docs/INSAT_Product_Version_information_V01.pdf
https://mosdac.gov.in/announcements,SFTP Services for Data Download,https://mosdac.gov.in/sites/default/files/docs/sftp-mosdac_0.pdf
https://mosdac.gov.in/announcements,"Amphan, Inundation region due to landfall of Amphan cyclone",https://mosdac.gov.in/sites/default/files/docs/cyclone_amphan_20may2020_forecast.pdf
https://mosdac.gov.in/announcements,MOSDAC: A Decade of Service to the Nation,https://mosdac.gov.in/sites/default/files/docs/decade-mosdacpdf_0.pdf
https://mosdac.gov.in/announcements,Digital Object Identifier (DOI),https://mosdac.gov.in/sites/default/files/docs/List%20of%20DOI-final-flash.pdf
https://mosdac.gov.in/announcements,STQC.pdf,https://mosdac.gov.in/docs/STQC.pdf
https://mosdac.gov.in/insitu,STQC.pdf,https://mosdac.gov.in/docs/STQC.pdf
https://mosdac.gov.in/atlases,STQC.pdf,https://mosdac.gov.in/docs/STQC.pdf
https://mosdac.gov.in/sitemap,STQC.pdf,https://mosdac.gov.in/docs/STQC.pdf
